City_name,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max_temperature,Wind_speed
Nuuk,100,GL,1602991946,87,64.18,-51.72,42.8,3.36
Luanda,75,AO,1602991947,78,-8.84,13.23,77.0,8.05
Griffith,90,US,1602991727,35,41.53,-87.42,59.0,17.22
Hong Kong,31,HK,1602991949,64,22.29,114.16,80.01,4.0
Mil'kovo,99,RU,1602991950,61,54.72,158.62,43.48,10.54
Westport,1,US,1602991805,75,41.14,-73.36,46.4,4.7
Acapulco de Juárez,14,MX,1602991811,82,16.86,-99.89,80.38,7.45
Aitape,100,PG,1602991953,82,-3.14,142.35,80.15,6.46
Coquimbo,0,CL,1602991948,100,-29.95,-71.34,51.8,5.82
Karratha,1,AU,1602991756,37,-20.74,116.85,81.99,16.53
Darnah,49,LY,1602991956,83,32.77,22.64,74.01,8.34
Chimbote,14,PE,1602991958,89,-9.09,-78.58,61.39,5.03
Kisangani,100,CD,1602991959,98,0.52,25.2,69.51,2.42
Ambilobe,0,MG,1602991960,62,-13.2,49.05,75.96,3.6
Teguise,99,ES,1602991961,77,29.06,-13.56,64.4,3.36
Bama,0,NG,1602991962,53,11.52,13.69,78.44,6.11
Mattru,94,SL,1602991963,98,7.62,-11.83,73.44,1.05
Beibei,90,CN,1602991964,87,29.83,106.43,60.01,4.47
Arman',100,RU,1602991965,93,59.7,150.17,33.55,4.9
Diamantino,13,BR,1602991966,61,-14.41,-56.45,78.17,1.9
Uvalde,1,US,1602991967,73,29.37,-99.77,72.0,8.05
Harar,0,ET,1602991968,80,9.31,42.13,60.39,1.12
Erzin,4,TR,1602991969,87,36.96,36.2,71.01,1.01
San Quintín,0,MX,1602991970,83,30.48,-115.95,68.92,8.41
Xam Nua,100,LA,1602991971,87,20.42,104.04,60.49,3.0
Kibala,88,TD,1602991972,83,9.11,18.35,75.2,3.33
Ouadda,99,CF,1602991974,87,8.08,22.4,66.9,1.48
Primo Tapia,5,MX,1602991975,77,32.22,-116.92,71.01,3.36
Vaitape,59,PF,1602991976,72,-16.52,-151.75,81.05,4.07
Umluj,0,SA,1602991977,40,25.02,37.27,83.34,8.39
Karoi,0,ZW,1602991978,45,-16.81,29.69,61.27,4.63
Meadow Lake,1,US,1602991979,15,34.8,-106.54,66.99,5.39
Rock Springs,1,US,1602991980,37,41.59,-109.2,50.0,16.11
El Alto,88,PE,1602991981,86,-4.27,-81.21,64.18,12.73
Pitimbu,20,BR,1602991982,88,-7.47,-34.81,73.4,5.82
Rondonópolis,3,BR,1602991983,64,-16.47,-54.64,76.12,1.52
Aklavik,20,CA,1602991984,72,68.22,-135.01,14.0,5.82
Catherinas Lust,60,GY,1602991985,80,6.4,-57.6,80.19,10.11
Yar-Sale,100,RU,1602991986,96,66.83,70.83,22.06,13.42
San Patricio,1,US,1602991987,88,28.02,-97.52,77.0,11.41
Pevek,100,RU,1602991988,98,69.7,170.31,29.5,13.35
Waddān,16,LY,1602991989,89,29.16,16.14,67.21,7.52
Doka,0,SD,1602991991,61,13.52,35.77,72.32,3.38
Atar,16,MR,1602991992,30,20.52,-13.05,85.3,6.91
Nola,17,IT,1602991993,87,40.92,14.53,57.0,2.24
Evensk,100,RU,1602991994,81,61.95,159.23,36.43,13.53
Nāgar Karnūl,91,IN,1602991995,74,16.48,78.32,79.03,4.79
Kyra,82,RU,1602991996,54,49.58,111.98,45.48,6.76
Praia,20,CV,1602991991,88,14.92,-23.51,77.0,5.82
Pacific Grove,1,US,1602991986,72,36.62,-121.92,64.99,3.36
Castle Rock,91,US,1602991999,31,39.37,-104.86,55.0,3.0
The Valley,40,AI,1602992000,83,18.22,-63.06,80.6,6.93
Duluth,90,US,1602991948,74,46.78,-92.11,37.4,11.41
Tres Arroyos,0,AR,1602992002,81,-38.37,-60.28,70.16,16.87
Geraldton,0,AU,1602992003,32,-28.77,114.6,80.6,14.99
Gazojak,0,TM,1602992004,28,41.19,61.4,61.34,5.97
Rassvet,76,RU,1602992005,63,46.83,40.75,57.11,5.21
Murgab,0,TM,1602992006,61,37.5,61.97,48.2,4.21
Linfen,87,CN,1602992008,26,36.09,111.52,65.01,1.1
Tabou,54,CI,1602992009,91,4.42,-7.35,76.12,5.93
Mitsamiouli,6,KM,1602992010,74,-11.38,43.28,79.02,3.11
Kutum,54,SD,1602992011,22,14.2,24.67,72.25,8.72
Zhigansk,100,RU,1602992012,94,66.77,123.37,13.84,6.76
Flin Flon,100,CA,1602992013,97,54.77,-101.86,26.74,10.27
Bassano,0,CA,1602992014,78,50.78,-112.47,21.0,7.31
Bubaque,13,GW,1602992016,86,11.28,-15.83,81.73,11.56
Teya,100,RU,1602992017,86,60.38,92.63,42.06,12.53
Te Anau,92,NZ,1602991999,63,-45.42,167.72,57.04,4.05
Leningradskiy,0,RU,1602992019,88,69.38,178.42,23.29,7.7
Sept-Îles,90,CA,1602992020,93,50.2,-66.38,44.6,17.22
